,annotation,Dangerous,Dirty,city,labels_dirty,labels_not_dirty
0,s_20140101_132014.jpg,2.5,2.5,gc,"['worn_paint','tangled_electrical_wiring']","['no_trash_on_street','well_painted_houses','non_neglected_plants','well_preserved_path','well_preserved_sidewalk']"
1,s_20140102_123503.jpg,1.5,2,gc,"['worn_paint','external_objects_blocking_the_passage','city_map_deteriorated']","['trees','well_painted_houses','monuments','lime_on_trees','well_preserved_path']"
2,s_20140102_124355.jpg,2,1.5,gc,['tangled_electrical_wiring'],"['no_trash_on_street','trees','non_neglected_plants','well_painted_houses','lime_on_trees','well_preserved_sidewalk','well_preserved_path']"
3,s_20140102_124833.jpg,2,2,gc,['street_water'],"['trees','trash_cans','well_painted_houses','monuments','lime_on_trees','well_preserved_path','well_preserved_sidewalk']"
4,s_20140108_131849.jpg,1.5,2,gc,['hawkers'],"['park_fountain','no_trash_on_street','well_painted_houses','trees','well_preserved_path','well_preserved_sidewalk']"
5,s_20140108_132752.jpg,2,2,gc,['tangled_electrical_wiring'],"['no_trash_on_street','trees','well_painted_houses','well_preserved_path','well_preserved_sidewalk']"
6,s_20140108_133926.jpg,2,2,gc,['tangled_electrical_wiring'],"['well_painted_houses','non_neglected_plants','no_trash_on_street','well_preserved_path','well_preserved_sidewalk']"
7,s_20140109_110653.jpg,2.5,2,gc,"['worn_paint','hawkers']","['no_trash_on_street','well_preserved_path']"
8,s_20140109_113027.jpg,2,2,gc,"['street_water','hawkers']","['no_trash_on_street','trees','well_painted_houses','non_neglected_plants','well_preserved_sidewalk','well_preserved_path']"
9,s_20140109_120711.jpg,2,2.5,gc,[],"['no_trash_on_street','trash_cans','non_neglected_plants','monuments','trees','well_preserved_path']"
10,s_20140109_123334.jpg,2,2,gc,[],"['trees','non_neglected_plants','well_painted_houses','no_trash_on_street','well_preserved_path']"
11,s_20140116_160001.jpg,1.5,1,gc,[],"['no_trash_on_street','well_painted_houses','park_fountain','trees','non_neglected_plants','lime_on_trees','well_preserved_path','well_preserved_sidewalk']"
12,s_20140117_103412.jpg,2,2.5,gc,['street_water'],"['non_neglected_plants','no_trash_on_street','trees','well_painted_houses','lime_on_trees','clean_road_signs','well_preserved_path']"
13,s_20140117_104545.jpg,2,2,gc,"['worn_paint','neglected_plants','trash_on_trees']","['trees','no_trash_on_street','well_preserved_path','well_preserved_sidewalk']"
14,s_20140117_104944.jpg,1,1,gc,[],"['trees','non_neglected_plants','no_trash_on_street','monuments','trash_cans','lime_on_trees','well_preserved_path']"
15,s_20140118_153546.jpg,2,2,gc,"['hawkers','tangled_electrical_wiring']","['well_painted_houses','no_trash_on_street','well_preserved_path','well_preserved_sidewalk']"
16,s_20140217_172816.jpg,2,2,gc,"['scratched_road_signs','tag_graffiti']","['no_trash_on_street','well_painted_houses','well_preserved_sidewalk']"
17,s_20140217_172908.jpg,2,1.5,gc,['worn_paint'],"['no_trash_on_street','non_neglected_plants','well_preserved_path','well_preserved_sidewalk']"
